years,time,loop,np,nthreads
32000000,77.857442,46.966255,1,1 
32000000,69.347180,38.430656,1,2 
32000000,69.079252,38.189228,1,4 
32000000,59.226116,28.183363,2,1 
32000000,54.741224,23.697165,2,2 
32000000,54.880799,23.972249,2,4 
32000000,48.575305,17.668173,4,1 
32000000,45.445581,14.497291,4,2 
32000000,42.964028,12.086584,4,4 
32000000,43.459514,12.583019,8,1 
32000000,41.827806,11.002052,8,2 
32000000,40.958375,10.051126,8,4 
32000000,77.781695,46.880960,1,1 
32000000,69.448838,38.543634,1,2 
32000000,69.655607,38.763161,1,4 
32000000,59.411334,28.315349,2,1 
32000000,54.822210,23.784663,2,2 
32000000,55.021245,24.120711,2,4 
32000000,48.414549,17.579714,4,1 
32000000,45.505770,14.520733,4,2 
32000000,42.874254,12.006098,4,4 
32000000,43.434764,12.565718,8,1 
32000000,42.041389,11.165597,8,2 
32000000,40.707310,9.879290,8,4 
32000000,78.227161,47.321816,1,1 
32000000,70.618312,39.729617,1,2 
32000000,69.048440,38.165167,1,4 
32000000,59.230385,28.186571,2,1 
32000000,54.926871,23.796422,2,2 
32000000,54.896337,23.970747,2,4 
32000000,48.426635,17.605570,4,1 
32000000,45.458619,14.466004,4,2 
32000000,43.140104,12.322553,4,4 
32000000,43.581894,12.745068,8,1 
32000000,42.313759,11.439319,8,2 
32000000,40.707848,9.860396,8,4 
32000000,77.650464,46.750884,1,1 
32000000,69.906841,38.509172,1,2 
32000000,69.256186,38.356179,1,4 
32000000,59.266575,28.166530,2,1 
32000000,54.803110,23.769834,2,2 
32000000,54.792882,23.868487,2,4 
32000000,48.342469,17.513863,4,1 
32000000,46.017335,14.529610,4,2 
32000000,42.813483,11.891691,4,4 
32000000,43.385279,12.533455,8,1 
32000000,42.061373,11.231699,8,2 
32000000,41.062495,10.182566,8,4 
32000000,77.835736,46.916468,1,1 
32000000,69.142043,38.246820,1,2 
32000000,69.352093,38.460549,1,4 
32000000,59.500135,28.456261,2,1 
32000000,54.987919,23.965444,2,2 
32000000,54.951934,24.039666,2,4 
32000000,48.590962,17.656393,4,1 
32000000,45.360326,14.391105,4,2 
32000000,43.137829,12.297460,4,4 
32000000,43.350818,12.514664,8,1 
32000000,42.201596,11.318237,8,2 
32000000,40.738220,9.821514,8,4 
32000000,77.753164,46.851889,1,1 
32000000,69.651932,38.725651,1,2 
32000000,69.166141,38.270448,1,4 
32000000,59.228077,28.160039,2,1 
32000000,54.950262,23.923902,2,2 
32000000,54.922553,23.998851,2,4 
32000000,48.556692,17.642608,4,1 
32000000,45.324259,14.344860,4,2 
32000000,43.151744,12.262305,4,4 
32000000,43.518645,12.643146,8,1 
32000000,41.869346,11.034520,8,2 
32000000,41.089325,10.201257,8,4 
32000000,77.622750,46.707485,1,1 
